"fecha","hora","temperatura","humedad","humedad_suelo"
"2022-08-22","02:36:41",19.3,69.5,1024.0
"2022-08-22","02:36:46",19.3,70.1,1024.0
"2022-08-22","02:36:51",19.3,69.7,1024.0
"2022-08-22","02:36:56",19.3,69.4,1024.0
"2022-08-22","02:37:01",19.3,69.2,1024.0
"2022-08-22","02:37:06",19.3,69.1,1024.0
"2022-08-22","02:37:11",19.3,69.1,1024.0
"2022-08-22","12:15:29",18.9,67.4,1.0
"2022-08-22","12:15:34",19.0,67.6,0.0
"2022-08-22","12:15:39",19.0,67.6,0.0
"2022-08-22","12:15:44",19.0,67.5,0.0
"2022-08-22","12:15:49",19.0,67.6,2.0
"2022-08-22","12:15:54",19.0,67.5,17.0
"2022-08-22","12:15:59",19.0,67.5,67.0
"2022-08-22","12:16:04",19.0,67.5,49.0
"2022-08-22","12:16:09",19.0,67.5,0.0
"2022-08-22","12:16:14",19.0,67.5,0.0
"2022-08-22","12:16:19",19.0,67.5,0.0
"2022-08-22","12:16:24",19.0,67.5,26.0
"2022-08-22","12:16:29",19.0,67.5,60.0
"2022-08-22","12:16:34",19.0,67.5,64.0
"2022-08-22","12:16:39",19.0,67.5,690.0
"2022-08-22","12:16:44",19.0,67.5,73.0
"2022-08-22","12:16:49",19.0,67.6,42.0
"2022-08-22","12:16:54",19.0,67.6,20.0
"2022-08-22","12:16:59",19.0,67.6,2.0
"2022-08-22","12:17:04",19.0,67.5,0.0
"2022-08-22","12:18:33",19.2,67.1,1024.0
"2022-08-22","12:18:47",19.2,67.1,1024.0
"2022-08-22","12:19:40",19.2,67.1,1024.0
"2022-08-22","12:20:00",19.2,67.0,1024.0
"2022-08-22","12:35:25",18.7,69.6,1024.0
"2022-08-22","12:36:45",18.8,68.0,1024.0
"2022-08-22","12:48:51",18.6,68.7,1024.0
"2022-08-22","12:49:11",18.7,68.6,1024.0
"2022-08-22","12:49:51",18.7,68.7,1024.0
"2022-08-22","12:50:11",18.7,68.6,1024.0
"2022-08-22","12:51:26",18.7,69.8,1024.0
"2022-08-22","12:51:46",18.8,69.6,1024.0
"2022-08-22","12:52:26",18.8,69.4,1024.0
"2022-08-22","12:52:46",18.8,69.5,951.0
"2022-08-22","12:53:26",18.9,69.1,667.0
"2022-08-22","12:53:31",18.8,68.4,652.0
"2022-08-22","12:53:36",18.8,68.3,606.0
"2022-08-22","12:53:41",18.8,68.3,581.0
"2022-08-22","12:53:46",18.8,68.3,568.0
"2022-08-22","12:53:51",18.8,68.4,566.0
"2022-08-22","12:53:56",18.8,68.4,566.0
"2022-08-22","12:54:01",18.8,68.4,569.0
"2022-08-22","12:54:06",18.8,68.3,572.0
"2022-08-22","12:54:11",18.8,68.4,579.0
"2022-08-22","12:54:16",18.8,68.3,583.0
"2022-08-22","12:54:21",18.8,68.3,591.0
"2022-08-22","12:54:26",18.8,68.3,595.0
"2022-08-22","12:54:31",18.8,68.3,600.0
"2022-08-22","12:54:36",18.8,68.4,606.0
"2022-08-22","12:54:41",18.8,68.5,609.0
"2022-08-22","12:54:46",18.8,68.6,614.0
"2022-08-22","12:54:51",18.7,68.6,616.0
"2022-08-22","12:54:56",18.7,68.7,619.0
"2022-08-22","12:55:01",18.7,68.6,615.0
"2022-08-22","12:55:06",18.7,68.6,618.0
"2022-08-22","12:55:11",18.7,68.6,618.0
"2022-08-22","12:55:16",18.7,68.5,620.0
"2022-08-22","12:55:21",18.7,68.5,620.0
"2022-08-22","12:55:26",18.7,68.5,619.0
"2022-08-22","12:55:31",18.7,68.5,620.0
"2022-08-22","12:55:36",18.7,68.6,621.0
"2022-08-22","12:55:41",18.7,68.6,620.0
"2022-08-22","12:55:46",18.7,68.5,620.0
"2022-08-22","12:55:51",18.8,68.5,622.0
"2022-08-22","12:55:56",18.7,68.5,620.0
"2022-08-22","12:56:01",18.7,68.5,620.0
"2022-08-22","12:56:06",18.7,68.5,620.0
"2022-08-22","12:56:11",18.7,68.5,620.0
"2022-08-22","12:56:16",18.7,68.5,622.0
"2022-08-22","12:56:21",18.7,68.5,622.0
"2022-08-22","12:56:26",18.7,68.6,619.0
"2022-08-22","12:56:32",18.7,68.6,620.0
"2022-08-22","12:56:37",18.7,68.7,621.0
"2022-08-22","12:56:42",18.7,68.7,620.0
"2022-08-22","12:56:47",18.6,68.7,622.0
"2022-08-22","12:56:52",18.6,68.7,620.0
"2022-08-22","12:56:57",18.6,68.7,624.0
"2022-08-22","12:57:02",18.6,68.7,619.0
"2022-08-22","12:57:07",18.6,68.7,618.0
"2022-08-22","12:57:12",18.6,68.8,618.0
"2022-08-22","12:57:17",18.6,68.8,616.0
"2022-08-22","12:57:22",18.6,68.9,617.0
"2022-08-22","12:57:27",18.6,68.9,616.0
"2022-08-22","12:57:32",18.6,68.9,617.0
"2022-08-22","12:57:37",18.6,68.8,618.0
"2022-08-22","12:57:42",18.6,68.8,616.0
"2022-08-22","12:57:47",18.6,68.8,617.0
"2022-08-22","12:57:52",18.7,68.8,617.0
"2022-08-22","12:57:57",18.6,68.8,615.0
